time_stamp,sensor_index,2.5_um_count,2.5_um_count_a,2.5_um_count_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-08-03T09:10:00Z,175665,4.394,3.778,5.01,10.234,9.7,10.768,10.234,9.7,10.768
2024-08-03T14:40:00Z,175665,2.515,1.896,3.134,8.186,8.07,8.302,8.186,8.07,8.302
2024-08-03T11:40:00Z,175665,6.768000000000001,4.892,8.644,14.469,13.78,15.158,15.28,14.544,16.016
2024-08-03T21:10:00Z,175665,4.523,3.972,5.074,11.003,10.904,11.102,11.003,10.904,11.102
2024-08-03T10:40:00Z,175665,4.961,4.56,5.362,11.61,11.628,11.592,11.61,11.628,11.592
2024-08-03T01:30:00Z,175665,8.896,7.984,9.808,9.688,9.548,9.828,9.688,9.548,9.828
2024-08-03T04:00:00Z,175665,4.522,3.672,5.372,8.353,8.046,8.66,8.353,8.046,8.66
2024-08-03T21:40:00Z,175665,3.522,3.186,3.858,10.173,10.05,10.296,10.173,10.05,10.296
2024-08-03T06:30:00Z,175665,6.056,4.38,7.732,11.234,10.744,11.724,11.234,10.744,11.724
2024-08-03T17:30:00Z,175665,2.882,2.706,3.058,9.567,9.56,9.574,9.567,9.56,9.574
2024-08-03T18:20:00Z,175665,3.217,2.986,3.448,9.114,8.95,9.278,9.114,8.95,9.278
2024-08-03T23:00:00Z,175665,4.968,4.636,5.3,8.437,8.616,8.258,8.437,8.616,8.258
2024-08-03T03:50:00Z,175665,3.65,3.332,3.968,8.084,7.97,8.198,8.084,7.97,8.198
2024-08-03T07:40:00Z,175665,4.411,4.66,4.162,10.739,10.63,10.848,10.739,10.63,10.848
2024-08-03T00:50:00Z,175665,5.718999999999999,5.22,6.218,7.901,8.008,7.794,7.901,8.008,7.794
2024-08-03T04:20:00Z,175665,4.98,4.64,5.32,9.402,9.188,9.616,9.402,9.188,9.616
2024-08-03T19:20:00Z,175665,3.948,3.476,4.42,11.46,11.266,11.654,11.46,11.266,11.654
2024-08-03T07:00:00Z,175665,4.711,3.696,5.726,11.157,10.774,11.54,11.157,10.774,11.54
2024-08-03T13:20:00Z,175665,2.638,2.57,2.706,10.384,10.282,10.486,10.384,10.282,10.486
2024-08-03T18:40:00Z,175665,4.077999999999999,2.76,5.396,12.574,11.988,13.16,12.574,11.988,13.16
2024-08-03T12:50:00Z,175665,5.097,3.738,6.456,13.328,13.11,13.546,13.452,13.146,13.758
2024-08-03T14:30:00Z,175665,2.198,1.996,2.4,7.666,7.646,7.686,7.666,7.646,7.686
2024-08-03T08:50:00Z,175665,4.332,3.804,4.86,10.439,10.024,10.854,10.439,10.024,10.854
2024-08-03T21:30:00Z,175665,3.836,3.698,3.974,10.144,10.098,10.19,10.144,10.098,10.19
2024-08-03T05:30:00Z,175665,5.363,4.096,6.63,9.312,8.932,9.692,9.312,8.932,9.692
2024-08-03T16:10:00Z,175665,3.0540000000000003,2.872,3.236,10.783,10.486,11.08,10.783,10.486,11.08
2024-08-03T19:40:00Z,175665,4.0,3.338,4.662,11.236999999999998,11.136,11.338,11.372,11.214,11.53
2024-08-03T00:30:00Z,175665,5.74,4.63,6.85,7.42,7.214,7.626,7.42,7.214,7.626
2024-08-03T23:20:00Z,175665,3.794,3.326,4.262,9.064,8.864,9.264,9.064,8.864,9.264
2024-08-03T02:50:00Z,175665,5.248,4.024,6.472,9.024,8.8,9.248,9.024,8.8,9.248
2024-08-03T07:10:00Z,175665,4.047000000000001,4.182,3.912,10.666,10.37,10.962,10.666,10.37,10.962
2024-08-03T07:20:00Z,175665,3.831,3.22,4.442,10.451,10.126,10.776,10.451,10.126,10.776
2024-08-03T08:10:00Z,175665,3.5620000000000003,3.656,3.468,10.983,10.87,11.096,10.983,10.87,11.096
2024-08-03T20:10:00Z,175665,3.788,2.852,4.724,10.852,10.616,11.088,10.852,10.616,11.088
2024-08-03T23:50:00Z,175665,3.731,3.666,3.796,8.338000000000001,8.278,8.398,8.338000000000001,8.278,8.398
2024-08-03T21:00:00Z,175665,3.933,3.458,4.408,10.289,10.402,10.176,10.289,10.402,10.176
2024-08-03T01:40:00Z,175665,6.747,5.848,7.646,10.116,9.884,10.348,10.116,9.884,10.348
2024-08-03T15:40:00Z,175665,2.265,2.248,2.282,9.576,9.562,9.59,9.576,9.562,9.59
2024-08-03T04:40:00Z,175665,4.697,4.586,4.808,9.07,9.04,9.1,9.07,9.04,9.1
2024-08-03T00:40:00Z,175665,5.677,5.112,6.242,7.811999999999999,7.656,7.968,7.811999999999999,7.656,7.968
2024-08-03T17:10:00Z,175665,2.847,2.624,3.07,10.318,10.18,10.456,10.318,10.18,10.456
2024-08-03T04:10:00Z,175665,4.697,3.636,5.758,8.869,8.34,9.398,8.869,8.34,9.398
2024-08-03T09:50:00Z,175665,3.511,3.738,3.284,10.807,10.838,10.776,10.807,10.838,10.776
2024-08-03T22:30:00Z,175665,4.572,4.76,4.384,8.850000000000001,8.72,8.98,8.850000000000001,8.72,8.98
2024-08-03T15:20:00Z,175665,2.5620000000000003,2.33,2.794,9.354,9.474,9.234,9.354,9.474,9.234
2024-08-03T01:10:00Z,175665,6.138,6.072,6.204,8.841000000000001,8.72,8.962,8.841000000000001,8.72,8.962
2024-08-03T11:00:00Z,175665,4.048,3.262,4.834,10.765,10.32,11.21,10.765,10.32,11.21
2024-08-03T04:50:00Z,175665,3.627,2.856,4.398,8.916,8.586,9.246,8.916,8.586,9.246
2024-08-03T20:30:00Z,175665,3.248,2.828,3.668,10.314,10.182,10.446,10.314,10.182,10.446
2024-08-03T12:10:00Z,175665,7.058999999999999,4.508,9.61,16.809,16.198,17.42,17.775,17.14,18.41
2024-08-03T16:20:00Z,175665,2.856,2.748,2.964,10.319,10.256,10.382,10.319,10.256,10.382
2024-08-03T06:10:00Z,175665,5.274,4.346,6.202,9.713,8.99,10.436,9.713,8.99,10.436
2024-08-03T17:00:00Z,175665,5.2780000000000005,3.982,6.574,13.843,13.508,14.178,14.113,13.726,14.5
2024-08-03T03:30:00Z,175665,3.746,3.584,3.908,7.871,7.904,7.838,7.871,7.904,7.838
2024-08-03T22:20:00Z,175665,6.481999999999999,5.534,7.43,10.71,10.718,10.702,10.71,10.718,10.702
2024-08-03T21:50:00Z,175665,5.864,4.664,7.064,12.574,12.306,12.842,13.003,12.688,13.318
2024-08-03T06:00:00Z,175665,5.582,5.036,6.128,9.54,9.244,9.836,9.54,9.244,9.836
2024-08-03T18:10:00Z,175665,3.715,3.318,4.112,10.91,10.684,11.136,10.957,10.742,11.172
2024-08-03T12:00:00Z,175665,6.458,4.23,8.686,13.424,12.842,14.006,13.931,13.246,14.616
2024-08-03T22:50:00Z,175665,4.005,3.656,4.354,7.207000000000001,7.15,7.264,7.207000000000001,7.15,7.264
2024-08-03T14:20:00Z,175665,1.867,1.798,1.936,7.637,7.704,7.57,7.637,7.704,7.57
