time_stamp,sensor_index,2.5_um_count,2.5_um_count_a,2.5_um_count_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-04-01T18:40:00Z,175665,16.179000000000002,12.23,20.128,25.313,24.956,25.67,25.317,24.956,25.678
2024-04-01T20:50:00Z,175665,23.258000000000003,18.126,28.39,34.122,33.474,34.77,37.411,36.286,38.536
2024-04-01T03:10:00Z,175665,6.502,5.88,7.124,14.252,13.968,14.536,14.252,13.968,14.536
2024-04-01T05:00:00Z,175665,15.895,12.198,19.592,26.879,26.574,27.184,27.805,27.388,28.222
2024-04-01T03:30:00Z,175665,8.736,7.1,10.372,16.518,16.116,16.92,16.518,16.116,16.92
2024-04-01T07:50:00Z,175665,16.042,11.398,20.686,26.587,25.802,27.372,26.642000000000003,25.812,27.472
2024-04-01T00:00:00Z,175665,6.679,5.624,7.734,16.125,16.01,16.24,16.125,16.01,16.24
2024-04-01T17:10:00Z,175665,17.592,13.498,21.686,24.304,23.444,25.164,24.317,23.444,25.19
2024-04-01T11:00:00Z,175665,13.178999999999998,10.048,16.31,19.197000000000003,18.416,19.978,19.197000000000003,18.416,19.978
2024-04-01T17:20:00Z,175665,18.513,12.946,24.08,26.437,25.414,27.46,26.876,25.706,28.046
2024-04-01T12:20:00Z,175665,19.769,15.114,24.424,30.362,29.66,31.064,31.357,30.284,32.43
2024-04-01T01:10:00Z,175665,10.207,7.56,12.854,18.296,17.906,18.686,18.719,18.268,19.17
2024-04-01T10:50:00Z,175665,18.254,15.68,20.828,23.638,23.26,24.016,25.346,24.912,25.78
2024-04-01T18:20:00Z,175665,14.678,12.42,16.936,20.997,20.676,21.318,20.997,20.676,21.318
2024-04-01T00:50:00Z,175665,7.879,6.208,9.55,15.883,15.646,16.12,15.883,15.646,16.12
2024-04-01T12:10:00Z,175665,23.623,18.564,28.682,33.728,33.392,34.064,36.752,36.174,37.33
2024-04-01T08:10:00Z,175665,13.518,10.25,16.786,22.981,22.468,23.494,22.981,22.468,23.494
2024-04-01T06:30:00Z,175665,20.315,17.306,23.324,34.227999999999994,34.214,34.242,37.59,37.482,37.698
2024-04-01T02:40:00Z,175665,6.872,5.082,8.662,14.441,14.254,14.628,14.441,14.254,14.628
2024-04-06T07:00:00Z,175665,7.068,5.298,8.838,7.478,6.764,8.192,7.478,6.764,8.192
2024-04-06T13:40:00Z,175665,2.435,2.284,2.586,4.912000000000001,4.94,4.884,4.912000000000001,4.94,4.884
2024-04-06T12:20:00Z,175665,12.982,10.584,15.38,15.967,15.328,16.606,18.28,17.442,19.118
2024-04-06T03:20:00Z,175665,4.914,3.276,6.552,4.92,4.53,5.31,4.92,4.53,5.31
2024-04-06T11:00:00Z,175665,9.863,7.676,12.05,15.029,14.642,15.416,15.039,14.656,15.422
2024-04-06T05:20:00Z,175665,6.857,5.33,8.384,6.501,6.368,6.634,6.501,6.368,6.634
2024-04-06T12:30:00Z,175665,6.164,4.75,7.578,9.753,9.502,10.004,10.686,10.376,10.996
