time_stamp,sensor_index,2.5_um_count,2.5_um_count_a,2.5_um_count_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-06-07T03:30:00Z,175665,8.665000000000001,6.296,11.034,17.555,17.16,17.95,17.555,17.16,17.95
2024-06-07T13:40:00Z,175665,4.720000000000001,4.248,5.192,15.774,15.61,15.938,15.774,15.61,15.938
2024-06-07T13:10:00Z,175665,7.661,6.08,9.242,23.335,22.738,23.932,23.335,22.738,23.932
2024-06-07T02:50:00Z,175665,5.430999999999999,5.1,5.762,14.551,14.398,14.704,14.551,14.398,14.704
2024-06-07T08:10:00Z,175665,12.082,9.264,14.9,28.291,27.196,29.386,28.603,27.202,30.004
2024-06-07T18:50:00Z,175665,1.948,1.628,2.268,9.933,9.796,10.07,9.933,9.796,10.07
2024-06-07T17:30:00Z,175665,3.055,2.698,3.412,12.913,12.892,12.934,12.913,12.892,12.934
2024-06-07T06:10:00Z,175665,12.383,9.208,15.558,24.294,23.536,25.052,24.299,23.536,25.062
2024-06-07T20:20:00Z,175665,12.771,9.73,15.812,16.067,15.41,16.724,17.091,16.366,17.816
2024-06-07T22:50:00Z,175665,2.1100000000000003,2.14,2.08,6.609,6.586,6.632,6.609,6.586,6.632
2024-06-07T15:50:00Z,175665,3.524,3.21,3.838,13.523,13.298,13.748,13.523,13.298,13.748
2024-06-07T12:20:00Z,175665,24.267,18.788,29.746,44.265,43.034,45.496,58.318,56.224,60.412
2024-06-07T17:00:00Z,175665,3.639,2.694,4.584,15.089,14.73,15.448,15.089,14.73,15.448
2024-06-07T16:10:00Z,175665,3.478,2.914,4.042,13.053,12.862,13.244,13.053,12.862,13.244
2024-06-07T19:20:00Z,175665,1.957,1.82,2.094,9.631,9.506,9.756,9.631,9.506,9.756
2024-06-07T07:30:00Z,175665,9.364,7.168,11.56,25.225,24.57,25.88,25.243,24.57,25.916
2024-06-07T15:10:00Z,175665,4.12,3.322,4.918,13.189,12.79,13.588,13.189,12.79,13.588
