time_stamp,sensor_index,2.5_um_count,2.5_um_count_a,2.5_um_count_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-09-02T00:20:00Z,175665,1.44,1.592,1.288,1.159,1.286,1.032,1.159,1.286,1.032
2024-09-02T07:00:00Z,175665,1.845,1.57,2.12,7.734,7.646,7.822,7.734,7.646,7.822
2024-09-02T19:50:00Z,175665,1.64,1.314,1.966,6.116,6.056,6.176,6.116,6.056,6.176
2024-09-02T01:20:00Z,175665,1.998,1.55,2.446,3.437,3.368,3.506,3.627,3.402,3.852
2024-09-02T10:20:00Z,175665,3.546,3.316,3.776,10.284,10.182,10.386,10.284,10.182,10.386
2024-09-02T11:10:00Z,175665,3.942,3.354,4.53,10.31,10.162,10.458,10.31,10.162,10.458
2024-09-02T15:10:00Z,175665,1.823,1.834,1.812,7.641999999999999,7.712,7.572,7.641999999999999,7.712,7.572
2024-09-02T07:30:00Z,175665,2.554,2.514,2.594,8.558,8.482,8.634,8.558,8.482,8.634
2024-09-02T21:20:00Z,175665,1.5750000000000002,1.57,1.58,4.948,4.744,5.152,4.948,4.744,5.152
2024-09-02T17:30:00Z,175665,1.988,1.794,2.182,6.614000000000001,6.408,6.82,6.614000000000001,6.408,6.82
2024-09-02T20:00:00Z,175665,1.36,1.324,1.396,6.263999999999999,6.02,6.508,6.263999999999999,6.02,6.508
2024-09-02T21:00:00Z,175665,1.374,1.322,1.426,4.519,4.718,4.32,4.519,4.718,4.32
2024-09-02T23:20:00Z,175665,1.675,1.514,1.836,3.873,3.918,3.828,3.873,3.918,3.828
2024-09-02T11:30:00Z,175665,3.25,2.414,4.086,11.294,10.68,11.908,11.294,10.68,11.908
2024-09-02T08:20:00Z,175665,2.84,2.48,3.2,9.378,8.902,9.854,9.378,8.902,9.854
2024-09-02T07:40:00Z,175665,3.535,2.704,4.366,8.722,8.402,9.042,8.722,8.402,9.042
2024-09-02T11:40:00Z,175665,3.551,3.014,4.088,10.697,10.594,10.8,10.697,10.594,10.8
2024-09-02T09:00:00Z,175665,2.467,2.424,2.51,10.138,9.642,10.634,10.138,9.642,10.634
2024-09-02T08:30:00Z,175665,2.971,2.408,3.534,9.981,9.5,10.462,9.981,9.5,10.462
2024-09-02T09:10:00Z,175665,2.566,2.732,2.4,10.52,10.242,10.798,10.52,10.242,10.798
2024-09-02T08:10:00Z,175665,3.567,2.942,4.192,9.48,9.018,9.942,9.48,9.018,9.942
