time_stamp,sensor_index,2.5_um_count,2.5_um_count_a,2.5_um_count_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-10-02T13:40:00Z,175665,5.848000000000001,5.804,5.892,23.94,23.462,24.418,23.94,23.462,24.418
2024-10-02T06:40:00Z,175665,5.85,5.544,6.156,22.265,21.972,22.558,22.265,21.972,22.558
2024-10-02T09:50:00Z,175665,6.68,4.906,8.454,25.371,24.56,26.182,25.574,24.73,26.418
2024-10-02T13:20:00Z,175665,9.564,7.674,11.454,29.036,28.692,29.38,29.476,29.02,29.932
2024-10-02T04:00:00Z,175665,7.923,5.278,10.568,29.267,29.076,29.458,29.804,29.484,30.124
2024-10-02T11:30:00Z,175665,7.813,5.458,10.168,25.837,25.134,26.54,26.151,25.428,26.874
2024-10-02T06:20:00Z,175665,4.407,3.112,5.702,19.108,18.43,19.786,19.108,18.43,19.786
2024-10-02T21:10:00Z,175665,1.611,1.244,1.978,9.989,9.74,10.238,9.989,9.74,10.238
2024-10-02T14:30:00Z,175665,5.54,3.85,7.23,19.266,18.732,19.8,19.266,18.732,19.8
2024-10-02T11:50:00Z,175665,12.527,8.956,16.098,34.496,33.59,35.402,37.976,36.512,39.44
2024-10-02T17:50:00Z,175665,1.99,1.404,2.576,10.355,10.078,10.632,10.355,10.078,10.632
2024-10-02T01:00:00Z,175665,2.412,2.384,2.44,12.405,12.26,12.55,12.405,12.26,12.55
2024-10-02T04:50:00Z,175665,4.956,4.354,5.558,20.896,20.822,20.97,20.896,20.822,20.97
2024-10-02T11:40:00Z,175665,12.213,9.294,15.132,33.483999999999995,33.086,33.882,36.31,35.766,36.854
2024-10-02T15:30:00Z,175665,3.402,2.956,3.848,16.573,16.068,17.078,16.573,16.068,17.078
2024-10-02T08:00:00Z,175665,10.341,6.654,14.028,31.614,31.004,32.224,33.305,32.298,34.312
2024-10-02T05:30:00Z,175665,4.319,3.018,5.62,19.563,18.934,20.192,19.563,18.934,20.192
2024-10-02T11:20:00Z,175665,11.337,8.56,14.114,32.695,32.01,33.38,35.459,34.394,36.524
2024-10-02T16:50:00Z,175665,2.511,2.276,2.746,10.851,10.548,11.154,10.851,10.548,11.154
2024-10-02T22:40:00Z,175665,2.177,1.918,2.436,10.795,10.768,10.822,10.795,10.768,10.822
2024-10-02T04:10:00Z,175665,8.496,6.828,10.164,29.105,28.59,29.62,29.767,29.136,30.398
2024-10-02T06:10:00Z,175665,5.145,3.968,6.322,19.076,18.51,19.642,19.076,18.51,19.642
2024-10-02T05:40:00Z,175665,4.678,3.094,6.262,19.202,18.68,19.724,19.202,18.68,19.724
2024-10-02T11:10:00Z,175665,12.224,9.406,15.042,34.483999999999995,34.05,34.918,37.906,37.178,38.634
2024-10-02T23:00:00Z,175665,2.8,2.386,3.214,11.933,11.69,12.176,11.933,11.69,12.176
2024-10-02T21:00:00Z,175665,2.948,2.072,3.824,10.117,9.932,10.302,10.117,9.932,10.302
2024-10-02T02:00:00Z,175665,3.292,2.7,3.884,19.28,18.712,19.848,19.28,18.712,19.848
2024-10-02T21:30:00Z,175665,2.311,2.254,2.368,9.726,9.772,9.68,9.726,9.772,9.68
2024-10-02T02:10:00Z,175665,3.851,3.106,4.596,20.213,19.86,20.566,20.213,19.86,20.566
2024-10-02T02:40:00Z,175665,3.761,3.35,4.172,19.911,19.432,20.39,19.911,19.432,20.39
2024-10-02T03:50:00Z,175665,6.0280000000000005,4.21,7.846,25.734,24.944,26.524,25.747,24.966,26.528
2024-10-02T12:50:00Z,175665,10.967,6.718,15.216,32.345,31.83,32.86,34.467,33.646,35.288
2024-10-02T08:40:00Z,175665,7.73,5.64,9.82,28.076,27.866,28.286,28.23,27.94,28.52
2024-10-02T23:20:00Z,175665,3.357,2.928,3.786,12.782,12.66,12.904,12.782,12.66,12.904
2024-10-02T03:20:00Z,175665,3.885,3.344,4.426,19.804,19.424,20.184,19.804,19.424,20.184
2024-10-02T07:20:00Z,175665,9.164,6.674,11.654,29.097,28.514,29.68,29.466,28.694,30.238
2024-10-02T20:20:00Z,175665,1.869,1.722,2.016,9.14,8.93,9.35,9.14,8.93,9.35
2024-10-02T14:10:00Z,175665,5.008,3.498,6.518,20.075,19.564,20.586,20.075,19.564,20.586
