time_stamp,sensor_index,2.5_um_count,2.5_um_count_a,2.5_um_count_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-02-26T09:40:00Z,175665,5.382,4.974,5.79,9.525,9.352,9.698,9.525,9.352,9.698
2024-02-26T20:50:00Z,175665,13.09,8.224,17.956,30.846,30.192,31.5,32.173,31.24,33.106
2024-02-26T12:50:00Z,175665,4.297000000000001,3.396,5.198,6.751,6.604,6.898,6.751,6.604,6.898
2024-02-26T07:00:00Z,175665,7.749,5.912,9.586,21.662,20.564,22.76,21.662,20.564,22.76
2024-02-26T03:30:00Z,175665,2.6660000000000004,2.346,2.986,8.231,8.2,8.262,8.231,8.2,8.262
2024-02-26T14:40:00Z,175665,5.068,3.106,7.03,8.940000000000001,8.96,8.92,8.940000000000001,8.96,8.92
2024-02-26T14:50:00Z,175665,4.7620000000000005,3.598,5.926,8.547,8.082,9.012,8.547,8.082,9.012
2024-02-26T11:50:00Z,175665,4.251,3.404,5.098,6.21,5.968,6.452,6.21,5.968,6.452
2024-02-26T16:20:00Z,175665,7.195,5.706,8.684,18.049,17.312,18.786,18.049,17.312,18.786
2024-02-26T20:10:00Z,175665,30.568,25.238,35.898,52.572,52.33,52.814,78.33,77.672,78.988
2024-02-26T07:50:00Z,175665,7.921,5.926,9.916,25.880000000000003,25.09,26.67,25.908,25.09,26.726
2024-02-26T09:20:00Z,175665,4.936999999999999,4.774,5.1,10.734000000000002,10.476,10.992,10.734000000000002,10.476,10.992
2024-02-26T07:30:00Z,175665,7.84,5.182,10.498,22.875,21.716,24.034,22.884,21.716,24.052
2024-02-27T01:30:00Z,175665,5.097,4.276,5.918,10.222,10.25,10.194,10.222,10.25,10.194
2024-02-27T09:50:00Z,175665,4.889,4.69,5.088,8.616,8.49,8.742,8.616,8.49,8.742
2024-02-27T18:10:00Z,175665,7.088,5.442,8.734,10.755,10.41,11.1,10.755,10.41,11.1
2024-02-27T02:50:00Z,175665,4.640000000000001,4.716,4.564,10.52,10.624,10.416,10.52,10.624,10.416
2024-02-27T00:10:00Z,175665,5.323,4.428,6.218,11.971,11.746,12.196,11.971,11.746,12.196
2024-02-27T19:10:00Z,175665,7.489000000000001,5.652,9.326,11.842,11.7,11.984,11.842,11.7,11.984
2024-02-27T03:40:00Z,175665,4.143,3.274,5.012,10.357,10.124,10.59,10.357,10.124,10.59
2024-02-27T02:40:00Z,175665,5.071,3.646,6.496,10.552,10.092,11.012,10.552,10.092,11.012
2024-02-27T03:20:00Z,175665,5.211,4.138,6.284,10.348,9.928,10.768,10.348,9.928,10.768
2024-02-27T08:00:00Z,175665,5.642,4.654,6.63,13.265,12.938,13.592,13.265,12.938,13.592
2024-02-27T06:20:00Z,175665,5.6370000000000005,4.682,6.592,16.966,16.868,17.064,16.966,16.868,17.064
2024-02-27T09:00:00Z,175665,5.4190000000000005,5.18,5.658,9.187,9.198,9.176,9.187,9.198,9.176
2024-02-27T12:30:00Z,175665,7.615,6.544,8.686,10.749,10.496,11.002,10.749,10.496,11.002
2024-02-27T14:30:00Z,175665,10.094,6.396,13.792,15.605,14.814,16.396,15.605,14.814,16.396
2024-02-27T13:30:00Z,175665,7.877,6.5,9.254,11.11,11.038,11.182,11.11,11.038,11.182
2024-02-27T15:40:00Z,175665,9.764,9.518,10.01,15.028,14.93,15.126,15.028,14.93,15.126
2024-02-27T02:10:00Z,175665,5.135,3.898,6.372,10.309,10.118,10.5,10.309,10.118,10.5
2024-02-27T21:50:00Z,175665,7.710000000000001,5.716,9.704,12.581,12.062,13.1,12.581,12.062,13.1
2024-02-28T17:40:00Z,175665,16.238999999999997,11.328,21.15,32.58,32.01,33.15,34.796,33.854,35.738
2024-02-28T16:30:00Z,175665,17.376,13.242,21.51,31.478,30.804,32.152,32.964,31.964,33.964
2024-02-28T08:20:00Z,175665,15.141,12.026,18.256,20.116,19.568,20.664,20.116,19.568,20.664
2024-02-28T06:30:00Z,175665,13.185,9.308,17.062,15.342,14.466,16.218,15.342,14.466,16.218
2024-02-28T02:10:00Z,175665,10.832,9.046,12.618,12.237,11.64,12.834,12.237,11.64,12.834
2024-02-28T14:10:00Z,175665,14.142,11.25,17.034,25.735,25.248,26.222,25.761,25.252,26.27
2024-02-28T15:10:00Z,175665,15.168,11.29,19.046,29.83,29.0,30.66,30.582,29.458,31.706
2024-02-28T05:50:00Z,175665,12.668,9.79,15.546,14.027,13.182,14.872,14.027,13.182,14.872
2024-02-28T15:50:00Z,175665,16.605,12.514,20.696,31.119,30.344,31.894,32.368,31.194,33.542
2024-02-28T21:10:00Z,175665,5.702,4.408,6.996,12.776,12.06,13.492,12.776,12.06,13.492
2024-02-28T13:40:00Z,175665,13.924,11.716,16.132,23.432,22.764,24.1,23.438,22.764,24.112
2024-02-28T21:00:00Z,175665,6.334,5.96,6.708,14.173,13.986,14.36,14.173,13.986,14.36
2024-02-25T17:00:00Z,175665,1.912,1.502,2.322,6.802,6.682,6.922,6.802,6.682,6.922
2024-02-25T17:50:00Z,175665,4.2010000000000005,2.744,5.658,13.965,13.672,14.258,14.182,13.882,14.482
2024-02-25T20:50:00Z,175665,2.486,1.694,3.278,8.963000000000001,9.096,8.83,8.963000000000001,9.096,8.83
2024-02-25T23:30:00Z,175665,3.399,3.176,3.622,14.415,14.34,14.49,14.415,14.34,14.49
2024-02-26T02:50:00Z,175665,2.869,3.02,2.718,8.324,8.466,8.182,8.324,8.466,8.182
2024-02-26T11:00:00Z,175665,4.497,3.332,5.662,7.938,7.552,8.324,7.938,7.552,8.324
2024-02-26T08:40:00Z,175665,6.157,4.116,8.198,19.398,18.874,19.922,19.398,18.874,19.922
2024-02-26T18:40:00Z,175665,12.5,10.066,14.934,30.67,30.436,30.904,36.095,35.722,36.468
2024-02-26T03:40:00Z,175665,3.351,2.825,3.877,8.605,8.31,8.9,8.605,8.31,8.9
2024-02-26T09:30:00Z,175665,5.4030000000000005,4.098,6.708,9.994,9.582,10.406,9.994,9.582,10.406
2024-02-26T19:00:00Z,175665,59.271,50.964,67.578,110.691,109.716,111.666,167.209,165.742,168.676
