time_stamp,sensor_index,2.5_um_count,2.5_um_count_a,2.5_um_count_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-03-05T18:10:00Z,175665,2.737,2.532,2.942,2.959,2.89,3.028,2.959,2.89,3.028
2024-03-05T07:50:00Z,175665,7.062,5.948,8.176,10.893,10.502,11.284,10.893,10.502,11.284
2024-03-05T02:50:00Z,175665,11.533,7.54,15.526,17.73,16.76,18.7,19.113,17.86,20.366
2024-03-05T21:20:00Z,175665,1.721,1.576,1.866,2.55,2.3,2.8,2.55,2.3,2.8
2024-03-05T19:50:00Z,175665,3.159,2.714,3.604,8.254999999999999,7.81,8.7,8.254999999999999,7.81,8.7
2024-03-05T20:50:00Z,175665,1.885,1.904,1.866,2.633,2.5,2.766,2.633,2.5,2.766
2024-03-05T18:20:00Z,175665,3.116,2.462,3.77,2.919,2.728,3.11,2.919,2.728,3.11
2024-03-05T23:00:00Z,175665,2.075,1.532,2.618,3.375,3.188,3.562,3.375,3.188,3.562
2024-03-05T07:00:00Z,175665,5.406,4.47,6.342,10.266,10.074,10.458,10.266,10.074,10.458
2024-03-05T12:30:00Z,175665,15.348,11.96,18.736,21.123,19.822,22.424,21.136,19.822,22.45
2024-03-05T16:40:00Z,175665,1.193,1.01,1.376,3.499,3.484,3.514,3.499,3.484,3.514
2024-03-05T17:50:00Z,175665,3.92,3.454,4.386,4.805,4.428,5.182,4.805,4.428,5.182
2024-03-05T01:40:00Z,175665,9.506,6.828,12.184,16.378999999999998,15.416,17.342,17.857,16.656,19.058
2024-03-05T09:40:00Z,175665,7.019,6.034,8.004,13.14,12.552,13.728,13.14,12.552,13.728
2024-03-05T14:30:00Z,175665,2.793,2.482,3.104,6.214,6.314,6.114,6.214,6.314,6.114
2024-03-07T03:00:00Z,175665,2.859,2.008,3.71,4.734,4.332,5.136,4.734,4.332,5.136
2024-03-07T22:10:00Z,175665,1.945,1.398,2.492,3.765,3.776,3.754,3.765,3.776,3.754
2024-03-07T12:00:00Z,175665,4.116,3.554,4.678,5.849,5.482,6.216,5.849,5.482,6.216
