time_stamp,pm2.5_atm,pm2.5_aqi
2024-02-25 00:00:00+00:00,9.929602040816327,41.373341836734696
2024-02-26 00:00:00+00:00,19.30576923076923,65.36439375556094
2024-02-27 00:00:00+00:00,11.9518125,49.79921875000001
2024-02-28 00:00:00+00:00,18.240583333333333,63.124255169996495
2024-02-29 00:00:00+00:00,2.6060729166666667,10.858637152777778
2024-03-01 00:00:00+00:00,9.231819444444444,38.46591435185185
2024-03-02 00:00:00+00:00,16.763875,60.01866456361724
2024-03-03 00:00:00+00:00,13.635958333333331,53.44050122677883
2024-03-04 00:00:00+00:00,12.852777777777778,51.79343381236126
2024-03-05 00:00:00+00:00,9.214395833333334,38.393315972222226
2024-03-06 00:00:00+00:00,8.114753472222223,33.81147280092593
2024-03-07 00:00:00+00:00,7.270347222222223,30.29311342592593
2024-03-08 00:00:00+00:00,14.05721527777778,54.32642540016358
2024-03-09 00:00:00+00:00,6.605736111111111,27.523900462962963
2024-03-10 00:00:00+00:00,8.76075,36.503125
2024-03-11 00:00:00+00:00,5.909215277777778,24.621730324074075
2024-03-12 00:00:00+00:00,7.035506944444445,29.314612268518523
2024-03-13 00:00:00+00:00,7.579666666666666,31.581944444444446
2024-03-14 00:00:00+00:00,18.60031597222222,63.880790688164495
2024-03-15 00:00:00+00:00,26.98143402777778,81.50669616777662
2024-03-16 00:00:00+00:00,5.670979166666666,23.62907986111111
2024-03-17 00:00:00+00:00,8.458746527777778,35.24477719907408
2024-03-18 00:00:00+00:00,7.680815972222222,32.00339988425926
2024-03-19 00:00:00+00:00,2.832826388888889,11.803443287037037
2024-03-20 00:00:00+00:00,7.341784722222223,30.59076967592593
2024-03-21 00:00:00+00:00,5.147818181818182,21.449242424242424
2024-03-22 00:00:00+00:00,5.185621527777778,21.606756365740743
2024-03-23 00:00:00+00:00,23.842125,74.90457413249212
2024-03-24 00:00:00+00:00,23.66602083333333,74.53421836663162
2024-03-25 00:00:00+00:00,17.67912847222222,61.943487849047784
2024-03-26 00:00:00+00:00,3.829545138888889,15.956438078703703
2024-03-27 00:00:00+00:00,5.660736111111111,23.586400462962963
2024-03-28 00:00:00+00:00,12.456944444444444,50.96097674962028
2024-03-29 00:00:00+00:00,6.503097222222222,27.09623842592593
2024-03-30 00:00:00+00:00,5.262715277777778,21.927980324074074
2024-03-31 00:00:00+00:00,10.26245138888889,42.76021412037038
2024-04-01 00:00:00+00:00,25.68992013888889,78.79057863068115
2024-04-02 00:00:00+00:00,20.156902777777777,67.1543696693539
2024-04-03 00:00:00+00:00,3.630451388888889,15.126880787037038
2024-04-04 00:00:00+00:00,5.199986111111111,21.6666087962963
2024-04-05 00:00:00+00:00,8.196597222222222,34.152488425925924
2024-04-06 00:00:00+00:00,6.202180555555556,25.842418981481483
2024-04-07 00:00:00+00:00,8.167444444444445,34.03101851851852
2024-04-08 00:00:00+00:00,10.035875,41.81614583333334
2024-04-09 00:00:00+00:00,16.05682986111111,58.53171369318846
2024-04-10 00:00:00+00:00,10.700298611111112,44.5845775462963
2024-04-11 00:00:00+00:00,3.4975555555555555,14.573148148148148
2024-04-12 00:00:00+00:00,4.771559027777778,19.881495949074075
2024-04-13 00:00:00+00:00,6.643034722222222,27.67931134259259
2024-04-14 00:00:00+00:00,8.238753472222221,34.32813946759259
2024-04-15 00:00:00+00:00,8.696874999999999,36.236979166666664
2024-04-16 00:00:00+00:00,14.580041666666666,55.42595513494567
2024-04-17 00:00:00+00:00,20.724659722222224,68.34839058301205
2024-04-18 00:00:00+00:00,22.540104166666666,72.16635997195934
2024-04-19 00:00:00+00:00,20.343520833333333,67.54683666316159
2024-04-20 00:00:00+00:00,20.34843055555556,67.55716205164155
2024-04-21 00:00:00+00:00,3.301152777777778,13.754803240740742
2024-04-22 00:00:00+00:00,4.617520833333334,19.23967013888889
2024-04-23 00:00:00+00:00,6.880833333333333,28.67013888888889
2024-04-24 00:00:00+00:00,7.239284722222223,30.163686342592598
2024-04-25 00:00:00+00:00,9.827840277777778,40.94933449074074
2024-04-26 00:00:00+00:00,14.523215277777776,55.306446430657786
2024-04-27 00:00:00+00:00,11.236930555555556,46.820543981481485
2024-04-28 00:00:00+00:00,11.747923611111112,48.94968171296297
2024-04-29 00:00:00+00:00,8.637597222222222,35.98998842592593
2024-04-30 00:00:00+00:00,7.315430555555555,30.480960648148148
2024-05-01 00:00:00+00:00,9.009125,37.538020833333334
2024-05-02 00:00:00+00:00,14.114506944444445,54.446912606612926
2024-05-03 00:00:00+00:00,10.012277777777776,41.717824074074066
2024-05-04 00:00:00+00:00,10.4074375,43.36432291666667
2024-05-05 00:00:00+00:00,10.65634375,44.401432291666666
2024-05-06 00:00:00+00:00,12.309340277777778,50.650557892277135
2024-05-07 00:00:00+00:00,14.98495138888889,56.277500292090195
2024-05-08 00:00:00+00:00,22.72209027777778,72.54908575768198
2024-05-09 00:00:00+00:00,50.80288194444445,138.73366473406284
2024-05-10 00:00:00+00:00,24.79935763888889,76.91768168010282
2024-05-11 00:00:00+00:00,5.439611111111111,22.665046296296296
2024-05-12 00:00:00+00:00,13.179333333333334,52.48019628461269
2024-05-13 00:00:00+00:00,24.61177083333333,76.5231773571679
2024-05-14 00:00:00+00:00,10.45540972222222,43.564207175925915
2024-05-15 00:00:00+00:00,17.389131944444443,61.33361081902091
2024-05-16 00:00:00+00:00,21.81309027777778,70.63741383339175
2024-05-17 00:00:00+00:00,16.600659722222222,59.67541476808039
2024-05-18 00:00:00+00:00,20.731444444444445,68.36265918915761
